id,name,brand,company,price,isbn
1,regadenoson,Lexiscan,"Astellas Pharma US, Inc.",$15.39 ,329677979-5
2,SODIUM CHLORIDE and POTASSIUM CHLORIDE,POTASSIUM CHLORIDE IN SODIUM CHLORIDE,B. Braun Medical Inc.,$38.62 ,819267326-X
3,Acetaminophen,TYLENOL EXTRA STRENGTH,"Lil' Drug Store Products, Inc.",$47.63 ,172532785-6
4,Naproxen Sodium,Naproxen Sodium,"Northwind Pharmaceuticals, LLC",$4.33 ,318407597-4
5,isoxsuprine hydrochloride,ISOXSUPRINE HYDROCHLORIDIUM,Vedco dba Valdar,$38.63 ,842941403-7
6,"Leucine, Phenylalanine, Lysine, Methionine, Isoleucine, Valine, Histidine, Threonine, Tryptophan, Alanine, Glycine, Arginine, Proline, Serine, Tyrosine, Dextrose",CLINIMIX,Baxter Healthcare Corporation,$45.76 ,758686558-2
7,Nicotine Polacrilex,Nicotine,Kroger Company,$35.84 ,325035583-6
8,Aluminum Zirconium Tetrachlorohydrex GLY,Axe,Conopco Inc. d/b/a Unilever,$16.97 ,162295270-7
9,"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE",Childrens Plus Cough and Runny Nose,Dollar General,$37.82 ,709927959-9
10,"Aralia Quinquefolia, Ginkgo Biloba, Hydrocotyle Asiatica, Brain, Hypothalamus, Pituitaria Glandula, Phosphorus, Silicea",Hypothalmupar,"Energique, Inc.",$1.35 ,268344130-4
11,"Aesculus hippocastanum, Arnica montana, Calcarea fluorica, Carduus marianus, Carbo vegetabilis, Collinsonia canadensis, Echinacea purpurea, Hamamelis virginiana, Lachesis mutus, Pulsatilla, Secale cornutum",VaricoGo,"Native Remedies, LLC",$35.45 ,304585309-9
12,Octinoxate and Titanium dioxide,CLE DE PEAU BEAUTE SILKY FOUNDATION I,"SHISEIDO CO., LTD.",$48.70 ,008122393-5
13,Hyoscyamine Sulfate,Hyoscyamine Sulfate,Rebel Distributors Corp,$18.58 ,139482862-4
14,metformin hydrochloride,Metformin Hydrochloride,"Physicians Total Care, Inc.",$22.98 ,078958423-9
15,Acetaminophen,rx act pain relief,H E B,$36.27 ,664006361-1
16,Dipyridamole,Dipyridamole,"General Injectables & Vaccines, Inc",$33.79 ,877503933-8
17,Ethyl Alcohol,Modesa,Shanghai Weierya Daily Chemicals Factory,$33.60 ,799001327-4
18,Pyrithione Zinc,Head and Shoulders,Procter & Gamble Manufacturing Co.,$8.78 ,411665015-3
19,Corn Grain,Corn Grain,"Nelco Laboratories, Inc.",$32.20 ,664424431-9
20,"MENTHOL, CAMPHOR",BIO-ICE,Electrostim Medical Services Inc. d/b/a EMSI,$40.31 ,642235685-4
21,URSODIOL,URSODIOL,"Rising Pharmaceuticals, Inc.",$15.68 ,418819322-0
22,Carisoprodol,Carisoprodol,Cardinal Health,$24.22 ,291478266-7
23,CINCHONA OFFICINALIS BARK,Cinchona Officinalis Kit Refill,Washington Homeopathic Products,$8.42 ,534806404-1
24,"Lycopodium clavatum, Natrum muriaticum, Sepia, Belladonna, Causticum, Phosphorus, Sulphur, 5-hydroxytryptophan, Alumina, Silicea,",Elevate RXS,"Deseret Biologicals, Inc.",$37.68 ,374502079-0
25,CAPTORPIL,CAPTOPRIL,Aidarex Pharmaceuticals LLC,$19.76 ,778796032-9
26,"cocoa butter, phenylephrine hcl",equaline hemorrhoidal,Supervalu Inc,$49.28 ,906555126-3
27,cetirizine Hydrochloride,health mart allergy complete,McKesson,$12.04 ,551993574-2
28,"Bacitracin Zinc, Neomycin Sulfate and Polymyxin B Sulfate",Budpak Triple Antibiotic Maximum Strength,Budpak Inc.,$28.79 ,188698385-2
29,enoxaparin sodium,Lovenox,sanofi-aventis U.S. LLC,$33.58 ,254716109-5
30,"BENZALKONIUM CHLORIDE, LIDOCAINE, WATER, ISOPROPYL ALCOHOL, ASPIRIN",FIRST AID Contains 101 PIECES HARDCASE,Genuine First Aid LLC,$40.98 ,441316406-7
31,Hydrogen Peroxide,Hydrogen Peroxide,"ASSURED / DOLLAR TREE (Greenbrier International, Inc.)",$46.75 ,273603259-4
32,Naproxen,Naproxen,"NCS HealthCare of KY, Inc dba Vangard Labs",$22.55 ,135575079-2
33,Ethyl Alcohol,Anti-bacterial Hand,"Jets, Sets, & Elephants Beauty Corp.",$17.91 ,425148859-8
34,"Vitamin C, Vitamin D, Vitamine E, Vitamine B6, Folate, Vitamine B12, Iron, Zinc, Magnesium, Docusate Sodium, DHA",Folet One,Pronova Corporation,$13.09 ,181081549-5
